> Parameter Combination 1/2: [dropout_rate=0.4][l1_alpha=0.0001][kernel_size=9][num_kernel=8]
epoch,Loss,Loss[std],Acc,Acc[std],Rec,Rec[std],Pre,Pre[std],F1,F1[std],AUROC,AUROC[std],AUPRC,AUPRC[std]
1,1.919532,0.004078,0.810268,0.006696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.514287,0.009110,0.342232,0.150700
2,1.234607,0.007212,0.800223,0.003348,0.010204,0.010204,0.035714,0.035714,0.015873,0.015873,0.505141,0.015624,0.246688,0.020896
3,0.901376,0.003644,0.800223,0.005580,0.015453,0.015453,0.059524,0.059524,0.024326,0.024326,0.492515,0.023976,0.204558,0.006008
4,0.765319,0.002606,0.792411,0.011161,0.008929,0.008929,0.017857,0.017857,0.011905,0.011905,0.454909,0.018201,0.166184,0.005903
5,0.655901,0.009366,0.806920,0.003348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.459219,0.031646,0.155041,0.029266
6,0.594412,0.009329,0.804688,0.003348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.485363,0.015818,0.163850,0.045245
7,0.556213,0.012464,0.805804,0.004464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.492209,0.004516,0.221182,0.021130
8,0.518045,0.005799,0.808036,0.004464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.482512,0.010736,0.220499,0.086421
9,0.502693,0.008539,0.810268,0.006696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.476989,0.010574,0.174777,0.059598
10,0.489489,0.002820,0.809152,0.003348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.493003,0.005330,0.199882,0.035609
11,0.478455,0.003107,0.808036,0.006696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.481116,0.002633,0.172020,0.015480
12,0.463413,0.009285,0.810268,0.004464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.486344,0.004430,0.191369,0.047768
13,0.450533,0.007782,0.804688,0.007812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.481392,0.002010,0.125813,0.034295
14,0.451702,0.008843,0.805804,0.002232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.470939,0.001484,0.095424,0.002790
15,0.438780,0.004215,0.806920,0.005580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.488676,0.006714,0.159623,0.003323
16,0.444087,0.012205,0.810268,0.004464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.486730,0.002156,0.202009,0.033482
17,0.424535,0.013806,0.806920,0.007812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.490909,0.002116,0.202567,0.104353
18,0.427682,0.011033,0.810268,0.004464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500377,0.002614,0.368750,0.015625
19,0.420651,0.001463,0.810268,0.006696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.489458,0.000564,0.273438,0.032366
20,0.404905,0.009785,0.809152,0.005580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.490187,0.003636,0.311533,0.076042
> Parameter Combination 2/2: [dropout_rate=0.5][l1_alpha=0.0001][kernel_size=9][num_kernel=8]
epoch,Loss,Loss[std],Acc,Acc[std],Rec,Rec[std],Pre,Pre[std],F1,F1[std],AUROC,AUROC[std],AUPRC,AUPRC[std]
1,1.939637,0.000616,0.809152,0.014509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.487931,0.024651,0.167389,0.057208
2,1.274731,0.026487,0.810268,0.013393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.511831,0.009518,0.343559,0.105635
3,0.942115,0.043985,0.811384,0.014509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.498994,0.002855,0.230500,0.033747
4,0.795284,0.043623,0.809152,0.014509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.501562,0.002728,0.276358,0.089639
5,0.687603,0.032526,0.810268,0.015625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.507996,0.004706,0.278757,0.056822
6,0.631371,0.029585,0.806920,0.012277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.517039,0.016516,0.307592,0.150510
7,0.582912,0.026546,0.808036,0.011161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529822,0.039149,0.256557,0.128329
8,0.553397,0.030116,0.809152,0.012277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550247,0.052070,0.286990,0.082501
9,0.527767,0.014844,0.808036,0.013393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.559617,0.077915,0.250101,0.136802
10,0.517799,0.031354,0.809152,0.016741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600559,0.103129,0.360069,0.052703
11,0.498249,0.014779,0.810268,0.013393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.632935,0.126675,0.371699,0.116548
12,0.496578,0.025737,0.806920,0.014509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586802,0.092410,0.386404,0.012520
