epoch,Loss,Loss[std],Acc,Acc[std],Rec,Rec[std],Pre,Pre[std],F1,F1[std],AUROC,AUROC[std],AUPRC,AUPRC[std]
1,1.680898,0.357436,0.809152,0.042249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.506512,0.015951,0.570866,0.097606
2,0.963864,0.075035,0.809152,0.054824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.595424,0.027412
3,0.806800,0.026306,0.810268,0.053757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.511603,0.038931,0.549777,0.142398
4,0.746769,0.009694,0.810268,0.064655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.489697,0.018694,0.167075,0.162072
5,0.725065,0.003495,0.810268,0.048289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.492021,0.015078,0.219308,0.213045
6,0.715544,0.003668,0.811384,0.038028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.502037,0.022461,0.298281,0.210818
7,0.649770,0.052853,0.809152,0.038807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504167,0.010327,0.578832,0.066790
8,0.538101,0.078987,0.810268,0.052443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.594866,0.026222
9,0.530852,0.029652,0.809152,0.028432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.595424,0.014216
10,0.511500,0.059743,0.810268,0.039992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.594866,0.019996
11,0.499482,0.042836,0.810268,0.028846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.502747,0.009905,0.597055,0.017310
12,0.509480,0.063149,0.810268,0.044138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.498662,0.003282,0.523438,0.181474
13,0.495832,0.065676,0.811384,0.046675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.499300,0.002525,0.558594,0.128872
14,0.494262,0.063861,0.810268,0.042116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.594866,0.021058
15,0.486732,0.079978,0.810268,0.059015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.499362,0.002299,0.559152,0.140585
16,0.483369,0.081618,0.810268,0.059603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.594866,0.029801
17,0.459979,0.058887,0.810268,0.042528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.509247,0.018825,0.602439,0.024681
18,0.463395,0.074914,0.809152,0.049474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.505076,0.024055,0.529373,0.175588
19,0.447083,0.066281,0.809152,0.046941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.519319,0.023918,0.520032,0.197269
20,0.451868,0.062158,0.810268,0.044138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.517563,0.026564,0.500689,0.202105
