,MOL_id,MOL_name,SMILES,Cluster No.,Num_data,Num_pos_data
0,L000001,Rabusertib,CC1=CC(=C(C=C1Br)NC(=O)NC2=NC=C(N=C2)C)OCC3CNCCO3,0.0,422,78
1,L000002,GA,CC(=CCCC1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)OC45C6CC(C=C4C3=O)C(=O)C5(OC6(C)C)CC=C(C)C(=O)O)O)C)C,0.0,144,67
2,L000003,SO286,O=C(O[C]1[C](O)[C](O)[C](OC(=O)c2ccccc2)[C](OC(=O)c2ccccc2)[C]1OC(=O)c1ccccc1)c1ccccc1,0.0,128,83
3,L000004,UTKO1,C=C(CC[C@H]1[C@@H](C)CCCC1(C)C)C(O)Cc1c(O)cc(C)c(C=O)c1O,0.0,170,96
4,L000005,STR,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O,0.0,199,70
5,L000006,DHDSM,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)CO,0.0,197,61
6,L000007,Filipin3,CCCCCC(C1C(CC(CC(CC(CC(CC(CC(C(=CC=CC=CC=CC=CC(C(OC1=O)C)O)C)O)O)O)O)O)O)O)O,0.0,394,91
7,L000008,Y-27632,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,0.0,448,53
8,L000009,STK805164,COc1ccc(-c2cc(OC(=O)c3ccccc3)c3c(C)oc(C)c3c(=O)c2)cc1,,9,0
9,L000010,STL290847,CSc1ccc(-c2cc(O)c3c(C)oc(C)c3c(=O)c2)cc1,,9,0
10,L000011,STK857100,CCOc1ccc(-c2cc(O)c3c(C)oc(C)c3c(=O)c2)cc1,,9,0
11,L000012,L253235,CCCc1c(C=O)[nH]c(-c2ccc(-c3[nH]c(C=O)c(CCC)c3C(=O)OCC)[nH]2)c1C(=O)OCC,,9,0
12,L000013,STL182887,COc1ccc(-c2cc(OC(=O)c3ccccc3Cl)c3c(C)oc(C)c3c(=O)c2)cc1OC,,9,0
13,L000014,STL182891,Cc1oc(C)c2c(=O)cc(-c3ccc4c(c3)OCO4)cc(OC(=O)c3cccc(Br)c3)c12,,9,0
14,L000015,NPL40565-01,Oc1ccc(/C=C/c2cc(O)cc3c2[C@H](c2cc(O)cc(O)c2)[C@H](c2ccc(O)cc2)O3)cc1,,9,0
15,L000016,NPL10559-01,C/C(=C\CCC(C)C1CCC2(C)C1=CCC1C3(C)C=CC(=O)C(C)(C)C3CCC12C)C(=O)O,,9,0
16,L000017,NPL20585-01,CN1CCc2cc3c(cc2C(=O)Cc2cc4c(cc2C1)OCO4)OCO3,,9,0
17,L000018,ISN-060,Cc1coc2c1C(=O)[C@@]1(C)[C@H](CCC(=O)[C@H]1C)C2,,9,0
18,L000019,Vitamin K1,CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,,9,0
19,L000020,HRT-0018,C/C1=C/C(=O)[C@@H]2CC(=O)O[C@@H]2C/C(C)=C/C[C@H]1OC(=O)c1ccccc1,,9,0
20,L000021,STK805172,COc1ccc(-c2cc(OC)c3c(C)oc(C)c3c(=O)c2)cc1OC,,9,0
21,L000022,STL290844,CCOc1cc(-c2cc(O)c3c(C)oc(C)c3c(=O)c2)ccc1O,,9,0
22,L000023,STK177292,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C=C(NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,,9,0
23,L000024,STL284579,Cc1oc(C)c2c(=O)cc(-c3ccc4c(c3)OCO4)cc(OC(=O)c3ccc(C(C)(C)C)cc3)c12,,9,0
24,L000025,STL199745,CCOc1ccc(-c2cc(OC(=O)c3ccc(I)cc3)c3c(C)oc(C)c3c(=O)c2)cc1,,9,0
25,L000026,Piceatannol,Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1,,9,0
26,L000027,D-alpha-Tocopherol succinate,Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,,9,0
27,L000028,"Ethyl 3,4-dihydroxycinnamate",CCOC(=O)/C=C/c1ccc(O)c(O)c1,,9,0
28,L000029,NPL61175-01,CCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,,9,0
29,L000030,NPL91235-01,CO[C@H]1CC[C@H](N2C(=O)CNc3ncc(-c4ccc(C(C)(C)O)nc4)nc32)CC1,,9,0
30,L000031,STK420696,Cc1ccc(-c2cc(C(=O)Nc3nc(-c4ccc(C(C)(C)C)cc4)cs3)c3ccccc3n2)o1,,9,0
31,L000032,STK431794,Cc1sc(NC(=O)c2cc(-c3ccc(Cl)s3)nc3ccccc23)nc1-c1ccc(CC(C)C)cc1,,9,0
32,L000033,STK431273,CCc1ccc(-c2c(C)sc(NC(=O)c3cc(-c4ccc(C)o4)nc4ccccc34)c2C(N)=O)cc1,,9,0
33,L000034,NPL00325-01,Cc1nn(-c2ccc(C(C)C)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)CC2(CC(=O)O)CCCC2)C1,,9,0
34,L000035,NPD15309,CCCCCN1CC(=O)N2[C@@H](Cc3c([nH]c4ccccc34)C2(C)C)C1=O,,9,0
35,L000036,X-073240,Nc1ccc(Oc2ccc3[nH]c(-c4cccc(N)c4)nc3c2)cc1,,9,0
36,L000037,OSSL_856972,CO[C@@H]1C(OC2OC(C)[C@@H](OC3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O,,9,0
37,L000038,STL445703,CC1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,,9,0
38,L000039,Shikonin,CC(C)=CCC(O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,9,0
39,L000040,NPL51185-01,COc1ccc(Cl)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(NC(=O)C(C)(C)N)c2)c1,,9,0
40,L000041,NPD15779,CN1C(=O)N=C(O)C2(Cc3cc4ccccc4nc3N3C4CC(C)(C)CC(C)(C4)C32)C1=O,,9,0
41,L000042,NPL41465-01,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,,9,0
42,L000043,STK055805,COc1cc(-c2cc(OC)c3c(C)oc(C)c3c(=O)c2)ccc1O,,9,0
43,L000044,STL182889,Cc1oc(C)c2c(=O)cc(-c3ccc4c(c3)OCO4)cc(OC(=O)c3cccc(Cl)c3)c12,,9,0
44,L000045,STL182886,COc1ccc(-c2cc(OC(=O)c3ccccc3F)c3c(C)oc(C)c3c(=O)c2)cc1OC,,9,0
45,L000046,NPL90560-01,COc1c(-c2ccccc2)oc2c(OC)c(O)cc(O)c2c1=O,,9,0
46,L000047,NPL50546-01,O=C1C[C@]23C=CCN4CCC5c6cc7c(cc6N1[C@@]5(CC2)C43)OCO7,,9,0
47,L000048,NPL50537-01,COc1c(CC=C(C)C)c(O)c2c(=O)c3cccc(O)c3n(C)c2c1CC=C(C)C,,9,0
48,L000049,NPL40583-01,O=C(/C=C/c1ccc(O)c(O)c1)N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,,9,0
49,L000050,NPL70580-01,COc1c(O)ccc2c(=O)c3c(O)cccc3oc12,,9,0
50,L000051,NPD15635,COc1c2c(cc3c1C(CC(=O)c1cc(C(C)(C)C)cc4c1CCC4(C)C)[N+](C)(C)CC3)OCO2.[I-],,9,0
